	カテゴリ	温泉			サブカテ	まったり																																											
	path	spa			subpath	mattari																																											
																																																	
																																																	
				↓時間帯は、機械検索しますので、入力書式を規定しています。詳細は表紙をご覧ください。																																													
					↓価格情報も、本来は時間帯と同様、機械検索できるように、専用の属性にしたほうがよいと思いますが、ひとまずtextにしています。																																												
	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															営業形態	温泉郷	家族(貸切)湯	泉質	最寄りバス停	最寄駅から	手ぶらＯＫ	シャワーあり	ドライヤーあり	etc														
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															optype	spaplace	familyspa	nature	nearbusstop	fromstation	freehand	shawaa	dry	etc														
(属性型)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text	text	bool	bool	bool	bool														
	北浜温泉(テルマス)	24-4126	京町11-1	message=受付,stime=10:00,etime=21:00	510円	33.28602	131.505115	木曜日	70台	small_terumasu.png																市営温泉	別府		単純泉、塩化物泉	的ヶ浜公園 2分	別府駅17分																		
	ホテル白菊	21-2111	上田の湯町16-36	message=,stime=13:00,etime=15:00	1000円(タオルセット200円含む・持ち込み不可)	33.2801419	131.494089	月曜休み	70台	small_beppyon.png																宿泊施設	別府		単純泉	ホテル白菊前 1分	別府駅6分																		
	ゆわいの宿竹乃井	23-3261	北浜3-10-26	message=,stime=14:00,etime=20:00	540円	33.2817961	131.5060834		30台	small_beppyon.png																宿泊施設	別府	1500円～2500円（45分）	炭酸水素塩泉	別府タワー前 1分	別府駅13分																		
	ホテルニューツルタ	22-1110	北浜1-14-15	message=,stime=15:00,etime=21:00	650円	33.278631	131.506248		50台	small_beppyon.png																宿泊施設	別府		重曹泉	別府北浜 2分	別府駅8分																		
	悠彩の宿望海	22-1241	北浜3-8-7	message=（要問合せ）,stime=11:00,etime=15:00	500円	33.282479	131.506271		30台	small_beppyon.png																宿泊施設	別府		重曹泉	別府タワー前 1分	別府駅13分																		
	べっぷ好楽	22-1331	北浜3-13-21	message=,stime=15:00,etime=21:00	540円	33.2808066	131.5069181		35台	small_beppyon.png																宿泊施設	別府		炭酸水素塩泉	別府北浜 1分	別府駅12分																		
	べっぷ野上本館	22-1334	北浜1-12-1	message=,stime=13:00,etime=0:00	500円	33.278263	131.50566		なし	small_beppyon.png																宿泊施設	別府	1500円（50分5名迄）	炭酸水素塩泉	別府北浜 2分	別府駅8分																		
	花菱ホテル	22-1211	北浜2-14-29	message=,stime=14:00,etime=17:00	500円	33.279484	131.507607		70台	small_beppyon.png																宿泊施設	別府		塩化物泉	別府北浜 2分	別府駅10分																		
	ホテル別府パストラル	23-4201	東荘園町1-4	message=,stime=13:00,etime=16:00	800円	33.2900174	131.4911514		100台	small_beppyon.png																宿泊施設	別府		単純泉																				
	ビジネスホテル松美	24-1122	駅前本町6-28	message=,stime=16:00,etime=1:00	300円	33.2803483	131.5027324		要問合せ	small_beppyon.png																宿泊施設	別府		単純泉	近鉄前 2分	別府駅5分																		
	ホテル三泉閣	21-1155	北浜3-6-23	message=,stime=15:00,etime=17:00	700円	33.281637	131.505288		50台(1台500円)	small_beppyon.png																宿泊施設	別府		重曹泉	別府タワー前 1分	別府駅7分																		
	ホテル雄飛	22-3274	北浜2-13-11	message=受付,stime=13:00,etime=14:30	540円	33.2800928	131.5066487		20台	small_beppyon.png																宿泊施設	別府		単純泉																				
	割烹旅館関屋	23-0414	北浜3丁目11-11	message=,stime=14:00,etime=17:00	500円	33.2815593	131.5066237		10台	small_beppyon.png																宿泊施設	別府		単純泉																				
	くつろぎの温泉宿山田別荘	24-2121	北浜3-2-18	message=月・水・木,stime=10:00,etime=15:00	500円	33.2820231	131.5036517	不定期	7台	small_beppyon.png																宿泊施設	別府	1名500円（60分）	塩化物泉																				
	旅館すえよ志	23-4155	北浜2－12－9	message=,stime=13:00,etime=15:00	520円	33.280104	131.507138		21台	small_beppyon.png																宿泊施設	別府		炭酸水素塩泉																				
	旅のお宿臨海	22-3361	北浜3－10－15	message=,stime=16:00,etime=18:00	500円	33.281951	131.506799		20台	small_beppyon.png																宿泊施設	別府		塩化物泉																				
	ホテル芳泉鶴	26-4666	別府市北浜3丁目10-23	message=,stime=18：00,etime=21：00	500円	33.2817315	131.5064015	不定期	なし	small_beppyon.png																宿泊施設	別府	なし	炭酸水素塩・塩化物泉	北浜、別府タワー	別府駅　徒歩13分																		
	ホテルシーウェーブ別府　熊八の湯	27-1311	駅前町12-8	message=,stime=16：00,etime=24：00	大人500円,子供300円	33.279104	131.500875	なし	あり（宿泊者優先）	small_beppyon.png																宿泊施設	別府	なし	ナトリウム・マグネシウム－炭酸水素塩・塩化物泉	別府駅徒歩１分	別府駅徒歩１分																		
